阳历日期,月份,日,周日,生肖年,农历月日,干支年,干支月,干支日,宜忌,黄历,黄历.1,生肖,星座,彭祖百忌,胎神占方,年五行,季节,月五行,星宿,日五行,节气,儒略日,回历,冲,煞,六曜,十二神
一九八七年,七月,二日,星期四,兔年,六月初七,丁卯年,丙午月,壬子日,节日国际体育记者日,宜,破屋,兔,巨蟹座,壬不汲水更难提防，子不问卜自惹祸殃。,仓库碓外东北,炉中火,夏季,天河水,角宿（角木蛟）,桑松木,夏至 第11天 （距下一个节气“小暑”，还有5天）,2446984.5,1407年11月05日,马 （丙午）,南,赤口,破执位
一九八七年,七月,二日,星期四,兔年,六月初七,丁卯年,丙午月,壬子日,节日国际体育记者日,宜,坏垣,兔,巨蟹座,壬不汲水更难提防，子不问卜自惹祸殃。,仓库碓外东北,炉中火,夏季,天河水,角宿（角木蛟）,桑松木,夏至 第11天 （距下一个节气“小暑”，还有5天）,2446984.5,1407年11月05日,马 （丙午）,南,赤口,破执位
一九八七年,七月,二日,星期四,兔年,六月初七,丁卯年,丙午月,壬子日,节日国际体育记者日,宜,余事勿取,兔,巨蟹座,壬不汲水更难提防，子不问卜自惹祸殃。,仓库碓外东北,炉中火,夏季,天河水,角宿（角木蛟）,桑松木,夏至 第11天 （距下一个节气“小暑”，还有5天）,2446984.5,1407年11月05日,马 （丙午）,南,赤口,破执位
一九八七年,七月,二日,星期四,兔年,六月初七,丁卯年,丙午月,壬子日,节日国际体育记者日,忌,诸事不宜,兔,巨蟹座,壬不汲水更难提防，子不问卜自惹祸殃。,仓库碓外东北,炉中火,夏季,天河水,角宿（角木蛟）,桑松木,夏至 第11天 （距下一个节气“小暑”，还有5天）,2446984.5,1407年11月05日,马 （丙午）,南,赤口,破执位
