年份,年份乙,干支,生肖,朝代甲,朝代乙,朝代丙,在位皇帝甲,在位皇帝乙,年号甲,年号乙,年号丙
公元前一千零一十四年,-1014,丁卯,兔,周朝,西周,,西周康王姬钊,,康王八年,,
公元前一千零一十三年,-1013,戊辰,龙,周朝,西周,,西周康王姬钊,,康王九年,,
公元前一千零一十二年,-1012,己巳,蛇,周朝,西周,,西周康王姬钊,,康王十年,,
公元前一千零一十一年,-1011,庚午,马,周朝,西周,,西周康王姬钊,,康王十一年,,
公元前一千零一十年,-1010,辛未,羊,周朝,西周,,西周康王姬钊,,康王十二年,,
公元前一千零九年,-1009,壬申,猴,周朝,西周,,西周康王姬钊,,康王十三年,,
公元前一千零八年,-1008,癸酉,鸡,周朝,西周,,西周康王姬钊,,康王十四年,,
公元前一千零七年,-1007,甲戌,狗,周朝,西周,,西周康王姬钊,,康王十五年,,
公元前一千零六年,-1006,乙亥,猪,周朝,西周,,西周康王姬钊,,康王十六年,,
公元前一千零五年,-1005,丙子,鼠,周朝,西周,,西周康王姬钊,,康王十七年,,
公元前一千零四年,-1004,丁丑,牛,周朝,西周,,西周康王姬钊,,康王十八年,,
公元前一千零三年,-1003,戊寅,虎,周朝,西周,,西周康王姬钊,,康王十九年,,
公元前一千零二年,-1002,己卯,兔,周朝,西周,,西周康王姬钊,,康王二十年,,
公元前一千零一年,-1001,庚辰,龙,周朝,西周,,西周康王姬钊,,康王二十一年,,
公元前一千年,-1000,辛巳,蛇,周朝,西周,,西周康王姬钊,,康王二十二年,,
公元前九百九十九年,-999,壬午,马,周朝,西周,,西周康王姬钊,,康王二十三年,,
公元前九百九十八年,-998,癸未,羊,周朝,西周,,西周康王姬钊,,康王二十四年,,
公元前九百九十七年,-997,甲申,猴,周朝,西周,,西周康王姬钊,,康王二十五年,,
公元前九百九十六年,-996,乙酉,鸡,周朝,西周,,西周康王姬钊,,康王二十六年,,
公元前九百九十五年,-995,丙戌,狗,周朝,西周,,西周昭王姬瑕,,昭王元年,,
公元前九百九十四年,-994,丁亥,猪,周朝,西周,,西周昭王姬瑕,,昭王二年,,
公元前九百九十三年,-993,戊子,鼠,周朝,西周,,西周昭王姬瑕,,昭王三年,,
公元前九百九十二年,-992,己丑,牛,周朝,西周,,西周昭王姬瑕,,昭王四年,,
公元前九百九十一年,-991,庚寅,虎,周朝,西周,,西周昭王姬瑕,,昭王五年,,
公元前九百九十年,-990,辛卯,兔,周朝,西周,,西周昭王姬瑕,,昭王六年,,
公元前九百八十九年,-989,壬辰,龙,周朝,西周,,西周昭王姬瑕,,昭王七年,,
公元前九百八十八年,-988,癸巳,蛇,周朝,西周,,西周昭王姬瑕,,昭王八年,,
